Case_Reported_Date,Reporting_PHU_ID,Reporting_PHU,Number_of_Cases
2020-03-15,2233,Grey Bruce Health Unit,2
2020-03-15,2236,Halton Region Health Department,1
2020-03-15,2237,Hamilton Public Health Services,2
2020-03-15,2246,Niagara Region Public Health Department,1
2020-03-15,2251,Ottawa Public Health,4
2020-03-15,2253,Peel Public Health,4
2020-03-15,2255,Peterborough Public Health,1
2020-03-15,2258,Eastern Ontario Health Unit,1
2020-03-15,2266,Wellington-Dufferin-Guelph Public Health,1
2020-03-15,2270,York Region Public Health Services,4
2020-03-15,3895,Toronto Public Health,15
2020-03-16,2226,Algoma Public Health Unit,1
2020-03-16,2230,Durham Region Health Department,1
2020-03-16,2236,Halton Region Health Department,3
2020-03-16,2237,Hamilton Public Health Services,7
2020-03-16,2244,Middlesex-London Health Unit,2
2020-03-16,2253,Peel Public Health,4
2020-03-16,2260,Simcoe Muskoka District Health Unit,2
2020-03-16,2265,"Region of Waterloo, Public Health",2
2020-03-16,2268,Windsor-Essex County Health Unit,1
2020-03-16,2270,York Region Public Health Services,11
2020-03-16,3895,Toronto Public Health,19
2020-03-17,2227,Brant County Health Unit,1
2020-03-17,2230,Durham Region Health Department,1
2020-03-17,2233,Grey Bruce Health Unit,1
2020-03-17,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-17,2236,Halton Region Health Department,5
2020-03-17,2237,Hamilton Public Health Services,3
2020-03-17,2240,Chatham-Kent Health Unit,1
2020-03-17,2241,"Kingston, Frontenac and Lennox & Addington Public Health",3
2020-03-17,2244,Middlesex-London Health Unit,1
2020-03-17,2246,Niagara Region Public Health Department,1
2020-03-17,2251,Ottawa Public Health,5
2020-03-17,2253,Peel Public Health,4
2020-03-17,2255,Peterborough Public Health,1
2020-03-17,2256,Porcupine Health Unit,1
2020-03-17,2258,Eastern Ontario Health Unit,2
2020-03-17,2260,Simcoe Muskoka District Health Unit,1
2020-03-17,2265,"Region of Waterloo, Public Health",2
2020-03-17,2268,Windsor-Essex County Health Unit,2
2020-03-17,2270,York Region Public Health Services,2
2020-03-17,3895,Toronto Public Health,18
2020-03-17,5183,Huron Perth District Health Unit,1
2020-03-18,2230,Durham Region Health Department,5
2020-03-18,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-18,2236,Halton Region Health Department,1
2020-03-18,2237,Hamilton Public Health Services,3
2020-03-18,2238,Hastings and Prince Edward Counties Health Unit,1
2020-03-18,2240,Chatham-Kent Health Unit,1
2020-03-18,2251,Ottawa Public Health,4
2020-03-18,2253,Peel Public Health,2
2020-03-18,2255,Peterborough Public Health,1
2020-03-18,2268,Windsor-Essex County Health Unit,3
2020-03-18,2270,York Region Public Health Services,6
2020-03-18,3895,Toronto Public Health,28
2020-03-18,5183,Huron Perth District Health Unit,1
2020-03-19,2230,Durham Region Health Department,6
2020-03-19,2237,Hamilton Public Health Services,1
2020-03-19,2238,Hastings and Prince Edward Counties Health Unit,3
2020-03-19,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-03-19,2244,Middlesex-London Health Unit,4
2020-03-19,2251,Ottawa Public Health,1
2020-03-19,2253,Peel Public Health,3
2020-03-19,2256,Porcupine Health Unit,1
2020-03-19,2260,Simcoe Muskoka District Health Unit,2
2020-03-19,2268,Windsor-Essex County Health Unit,2
2020-03-19,2270,York Region Public Health Services,10
2020-03-19,3895,Toronto Public Health,35
2020-03-20,2230,Durham Region Health Department,5
2020-03-20,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",10
2020-03-20,2236,Halton Region Health Department,1
2020-03-20,2237,Hamilton Public Health Services,2
2020-03-20,2238,Hastings and Prince Edward Counties Health Unit,1
2020-03-20,2244,Middlesex-London Health Unit,3
2020-03-20,2246,Niagara Region Public Health Department,3
2020-03-20,2251,Ottawa Public Health,2
2020-03-20,2253,Peel Public Health,7
2020-03-20,2258,Eastern Ontario Health Unit,1
2020-03-20,2260,Simcoe Muskoka District Health Unit,1
2020-03-20,2262,Thunder Bay District Health Unit,1
2020-03-20,2265,"Region of Waterloo, Public Health",2
2020-03-20,2270,York Region Public Health Services,23
2020-03-20,3895,Toronto Public Health,36
2020-03-20,4913,Southwestern Public Health,1
2020-03-21,2230,Durham Region Health Department,7
2020-03-21,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",8
2020-03-21,2236,Halton Region Health Department,3
2020-03-21,2237,Hamilton Public Health Services,4
2020-03-21,2246,Niagara Region Public Health Department,1
2020-03-21,2251,Ottawa Public Health,4
2020-03-21,2253,Peel Public Health,1
2020-03-21,2255,Peterborough Public Health,1
2020-03-21,2258,Eastern Ontario Health Unit,1
2020-03-21,2260,Simcoe Muskoka District Health Unit,1
2020-03-21,2261,Sudbury & District Health Unit,1
2020-03-21,2265,"Region of Waterloo, Public Health",7
2020-03-21,2266,Wellington-Dufferin-Guelph Public Health,1
2020-03-21,2268,Windsor-Essex County Health Unit,7
2020-03-21,2270,York Region Public Health Services,10
2020-03-21,3895,Toronto Public Health,14
2020-03-21,4913,Southwestern Public Health,1
2020-03-22,2230,Durham Region Health Department,3
2020-03-22,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-22,2236,Halton Region Health Department,3
2020-03-22,2237,Hamilton Public Health Services,2
2020-03-22,2241,"Kingston, Frontenac and Lennox & Addington Public Health",5
2020-03-22,2243,"Leeds, Grenville and Lanark District Health Unit",1
2020-03-22,2244,Middlesex-London Health Unit,4
2020-03-22,2251,Ottawa Public Health,6
2020-03-22,2255,Peterborough Public Health,1
2020-03-22,2256,Porcupine Health Unit,2
2020-03-22,2260,Simcoe Muskoka District Health Unit,1
2020-03-22,2265,"Region of Waterloo, Public Health",12
2020-03-22,2266,Wellington-Dufferin-Guelph Public Health,1
2020-03-22,2270,York Region Public Health Services,10
2020-03-22,3895,Toronto Public Health,33
2020-03-23,2226,Algoma Public Health Unit,1
2020-03-23,2227,Brant County Health Unit,3
2020-03-23,2230,Durham Region Health Department,11
2020-03-23,2233,Grey Bruce Health Unit,1
2020-03-23,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",5
2020-03-23,2236,Halton Region Health Department,3
2020-03-23,2237,Hamilton Public Health Services,5
2020-03-23,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-03-23,2244,Middlesex-London Health Unit,1
2020-03-23,2246,Niagara Region Public Health Department,3
2020-03-23,2251,Ottawa Public Health,9
2020-03-23,2253,Peel Public Health,11
2020-03-23,2255,Peterborough Public Health,2
2020-03-23,2256,Porcupine Health Unit,1
2020-03-23,2260,Simcoe Muskoka District Health Unit,4
2020-03-23,2261,Sudbury & District Health Unit,1
2020-03-23,2263,Timiskaming Health Unit,1
2020-03-23,2265,"Region of Waterloo, Public Health",9
2020-03-23,2266,Wellington-Dufferin-Guelph Public Health,1
2020-03-23,2268,Windsor-Essex County Health Unit,3
2020-03-23,2270,York Region Public Health Services,27
2020-03-23,3895,Toronto Public Health,41
2020-03-23,4913,Southwestern Public Health,1
2020-03-24,2230,Durham Region Health Department,7
2020-03-24,2233,Grey Bruce Health Unit,1
2020-03-24,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",5
2020-03-24,2236,Halton Region Health Department,2
2020-03-24,2237,Hamilton Public Health Services,3
2020-03-24,2238,Hastings and Prince Edward Counties Health Unit,1
2020-03-24,2241,"Kingston, Frontenac and Lennox & Addington Public Health",4
2020-03-24,2244,Middlesex-London Health Unit,4
2020-03-24,2246,Niagara Region Public Health Department,3
2020-03-24,2251,Ottawa Public Health,8
2020-03-24,2253,Peel Public Health,19
2020-03-24,2255,Peterborough Public Health,1
2020-03-24,2260,Simcoe Muskoka District Health Unit,4
2020-03-24,2261,Sudbury & District Health Unit,1
2020-03-24,2265,"Region of Waterloo, Public Health",13
2020-03-24,2268,Windsor-Essex County Health Unit,17
2020-03-24,2270,York Region Public Health Services,39
2020-03-24,3895,Toronto Public Health,42
2020-03-25,2230,Durham Region Health Department,9
2020-03-25,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",5
2020-03-25,2236,Halton Region Health Department,1
2020-03-25,2237,Hamilton Public Health Services,4
2020-03-25,2238,Hastings and Prince Edward Counties Health Unit,1
2020-03-25,2242,Lambton Public Health,5
2020-03-25,2244,Middlesex-London Health Unit,2
2020-03-25,2246,Niagara Region Public Health Department,2
2020-03-25,2247,North Bay Parry Sound District Health Unit,1
2020-03-25,2249,Northwestern Health Unit,2
2020-03-25,2251,Ottawa Public Health,8
2020-03-25,2253,Peel Public Health,12
2020-03-25,2255,Peterborough Public Health,3
2020-03-25,2256,Porcupine Health Unit,2
2020-03-25,2257,Renfrew County and District Health Unit,1
2020-03-25,2260,Simcoe Muskoka District Health Unit,7
2020-03-25,2261,Sudbury & District Health Unit,1
2020-03-25,2262,Thunder Bay District Health Unit,1
2020-03-25,2265,"Region of Waterloo, Public Health",4
2020-03-25,2266,Wellington-Dufferin-Guelph Public Health,1
2020-03-25,2268,Windsor-Essex County Health Unit,12
2020-03-25,2270,York Region Public Health Services,20
2020-03-25,3895,Toronto Public Health,32
2020-03-25,4913,Southwestern Public Health,2
2020-03-26,2226,Algoma Public Health Unit,1
2020-03-26,2230,Durham Region Health Department,22
2020-03-26,2233,Grey Bruce Health Unit,2
2020-03-26,2234,Haldimand-Norfolk Health Unit,1
2020-03-26,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-26,2236,Halton Region Health Department,3
2020-03-26,2237,Hamilton Public Health Services,5
2020-03-26,2240,Chatham-Kent Health Unit,2
2020-03-26,2241,"Kingston, Frontenac and Lennox & Addington Public Health",3
2020-03-26,2242,Lambton Public Health,2
2020-03-26,2243,"Leeds, Grenville and Lanark District Health Unit",2
2020-03-26,2244,Middlesex-London Health Unit,2
2020-03-26,2246,Niagara Region Public Health Department,3
2020-03-26,2249,Northwestern Health Unit,1
2020-03-26,2251,Ottawa Public Health,19
2020-03-26,2253,Peel Public Health,30
2020-03-26,2260,Simcoe Muskoka District Health Unit,6
2020-03-26,2265,"Region of Waterloo, Public Health",6
2020-03-26,2266,Wellington-Dufferin-Guelph Public Health,1
2020-03-26,2268,Windsor-Essex County Health Unit,2
2020-03-26,2270,York Region Public Health Services,23
2020-03-26,3895,Toronto Public Health,109
2020-03-26,4913,Southwestern Public Health,1
2020-03-26,5183,Huron Perth District Health Unit,1
2020-03-27,2226,Algoma Public Health Unit,1
2020-03-27,2227,Brant County Health Unit,2
2020-03-27,2230,Durham Region Health Department,14
2020-03-27,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-27,2236,Halton Region Health Department,5
2020-03-27,2237,Hamilton Public Health Services,8
2020-03-27,2238,Hastings and Prince Edward Counties Health Unit,1
2020-03-27,2241,"Kingston, Frontenac and Lennox & Addington Public Health",4
2020-03-27,2242,Lambton Public Health,2
2020-03-27,2243,"Leeds, Grenville and Lanark District Health Unit",6
2020-03-27,2244,Middlesex-London Health Unit,1
2020-03-27,2246,Niagara Region Public Health Department,3
2020-03-27,2249,Northwestern Health Unit,1
2020-03-27,2251,Ottawa Public Health,27
2020-03-27,2253,Peel Public Health,43
2020-03-27,2255,Peterborough Public Health,9
2020-03-27,2256,Porcupine Health Unit,4
2020-03-27,2258,Eastern Ontario Health Unit,5
2020-03-27,2260,Simcoe Muskoka District Health Unit,7
2020-03-27,2262,Thunder Bay District Health Unit,4
2020-03-27,2265,"Region of Waterloo, Public Health",12
2020-03-27,2266,Wellington-Dufferin-Guelph Public Health,2
2020-03-27,2270,York Region Public Health Services,30
2020-03-27,3895,Toronto Public Health,100
2020-03-27,5183,Huron Perth District Health Unit,3
2020-03-28,2226,Algoma Public Health Unit,1
2020-03-28,2227,Brant County Health Unit,3
2020-03-28,2230,Durham Region Health Department,6
2020-03-28,2233,Grey Bruce Health Unit,2
2020-03-28,2234,Haldimand-Norfolk Health Unit,5
2020-03-28,2236,Halton Region Health Department,15
2020-03-28,2237,Hamilton Public Health Services,13
2020-03-28,2238,Hastings and Prince Edward Counties Health Unit,2
2020-03-28,2240,Chatham-Kent Health Unit,2
2020-03-28,2241,"Kingston, Frontenac and Lennox & Addington Public Health",8
2020-03-28,2242,Lambton Public Health,12
2020-03-28,2243,"Leeds, Grenville and Lanark District Health Unit",4
2020-03-28,2244,Middlesex-London Health Unit,9
2020-03-28,2246,Niagara Region Public Health Department,19
2020-03-28,2247,North Bay Parry Sound District Health Unit,2
2020-03-28,2251,Ottawa Public Health,26
2020-03-28,2253,Peel Public Health,25
2020-03-28,2255,Peterborough Public Health,3
2020-03-28,2260,Simcoe Muskoka District Health Unit,2
2020-03-28,2261,Sudbury & District Health Unit,1
2020-03-28,2262,Thunder Bay District Health Unit,1
2020-03-28,2263,Timiskaming Health Unit,1
2020-03-28,2265,"Region of Waterloo, Public Health",7
2020-03-28,2266,Wellington-Dufferin-Guelph Public Health,3
2020-03-28,2268,Windsor-Essex County Health Unit,1
2020-03-28,2270,York Region Public Health Services,17
2020-03-28,3895,Toronto Public Health,41
2020-03-28,4913,Southwestern Public Health,3
2020-03-28,5183,Huron Perth District Health Unit,2
2020-03-29,2227,Brant County Health Unit,3
2020-03-29,2230,Durham Region Health Department,11
2020-03-29,2233,Grey Bruce Health Unit,1
2020-03-29,2234,Haldimand-Norfolk Health Unit,6
2020-03-29,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-29,2236,Halton Region Health Department,10
2020-03-29,2237,Hamilton Public Health Services,16
2020-03-29,2238,Hastings and Prince Edward Counties Health Unit,2
2020-03-29,2241,"Kingston, Frontenac and Lennox & Addington Public Health",5
2020-03-29,2242,Lambton Public Health,8
2020-03-29,2243,"Leeds, Grenville and Lanark District Health Unit",4
2020-03-29,2244,Middlesex-London Health Unit,5
2020-03-29,2246,Niagara Region Public Health Department,14
2020-03-29,2247,North Bay Parry Sound District Health Unit,1
2020-03-29,2251,Ottawa Public Health,11
2020-03-29,2253,Peel Public Health,31
2020-03-29,2255,Peterborough Public Health,4
2020-03-29,2257,Renfrew County and District Health Unit,1
2020-03-29,2258,Eastern Ontario Health Unit,1
2020-03-29,2260,Simcoe Muskoka District Health Unit,4
2020-03-29,2261,Sudbury & District Health Unit,3
2020-03-29,2265,"Region of Waterloo, Public Health",8
2020-03-29,2266,Wellington-Dufferin-Guelph Public Health,16
2020-03-29,2268,Windsor-Essex County Health Unit,3
2020-03-29,2270,York Region Public Health Services,16
2020-03-29,3895,Toronto Public Health,38
2020-03-29,5183,Huron Perth District Health Unit,2
2020-03-30,2227,Brant County Health Unit,3
2020-03-30,2230,Durham Region Health Department,28
2020-03-30,2233,Grey Bruce Health Unit,1
2020-03-30,2234,Haldimand-Norfolk Health Unit,9
2020-03-30,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",8
2020-03-30,2236,Halton Region Health Department,14
2020-03-30,2237,Hamilton Public Health Services,8
2020-03-30,2238,Hastings and Prince Edward Counties Health Unit,1
2020-03-30,2241,"Kingston, Frontenac and Lennox & Addington Public Health",6
2020-03-30,2242,Lambton Public Health,8
2020-03-30,2243,"Leeds, Grenville and Lanark District Health Unit",10
2020-03-30,2244,Middlesex-London Health Unit,14
2020-03-30,2246,Niagara Region Public Health Department,9
2020-03-30,2251,Ottawa Public Health,48
2020-03-30,2253,Peel Public Health,73
2020-03-30,2255,Peterborough Public Health,1
2020-03-30,2256,Porcupine Health Unit,2
2020-03-30,2257,Renfrew County and District Health Unit,2
2020-03-30,2258,Eastern Ontario Health Unit,2
2020-03-30,2260,Simcoe Muskoka District Health Unit,9
2020-03-30,2261,Sudbury & District Health Unit,1
2020-03-30,2265,"Region of Waterloo, Public Health",9
2020-03-30,2266,Wellington-Dufferin-Guelph Public Health,12
2020-03-30,2268,Windsor-Essex County Health Unit,15
2020-03-30,2270,York Region Public Health Services,68
2020-03-30,3895,Toronto Public Health,72
2020-03-30,4913,Southwestern Public Health,5
2020-03-31,2226,Algoma Public Health Unit,1
2020-03-31,2227,Brant County Health Unit,2
2020-03-31,2230,Durham Region Health Department,17
2020-03-31,2233,Grey Bruce Health Unit,2
2020-03-31,2234,Haldimand-Norfolk Health Unit,10
2020-03-31,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",3
2020-03-31,2236,Halton Region Health Department,16
2020-03-31,2237,Hamilton Public Health Services,17
2020-03-31,2238,Hastings and Prince Edward Counties Health Unit,2
2020-03-31,2240,Chatham-Kent Health Unit,2
2020-03-31,2241,"Kingston, Frontenac and Lennox & Addington Public Health",6
2020-03-31,2242,Lambton Public Health,11
2020-03-31,2243,"Leeds, Grenville and Lanark District Health Unit",7
2020-03-31,2244,Middlesex-London Health Unit,13
2020-03-31,2246,Niagara Region Public Health Department,17
2020-03-31,2251,Ottawa Public Health,51
2020-03-31,2253,Peel Public Health,23
2020-03-31,2255,Peterborough Public Health,5
2020-03-31,2256,Porcupine Health Unit,6
2020-03-31,2257,Renfrew County and District Health Unit,2
2020-03-31,2258,Eastern Ontario Health Unit,9
2020-03-31,2260,Simcoe Muskoka District Health Unit,4
2020-03-31,2261,Sudbury & District Health Unit,3
2020-03-31,2265,"Region of Waterloo, Public Health",12
2020-03-31,2266,Wellington-Dufferin-Guelph Public Health,8
2020-03-31,2268,Windsor-Essex County Health Unit,24
2020-03-31,2270,York Region Public Health Services,41
2020-03-31,3895,Toronto Public Health,86
2020-03-31,4913,Southwestern Public Health,4
2020-03-31,5183,Huron Perth District Health Unit,6
2020-04-01,2226,Algoma Public Health Unit,1
2020-04-01,2227,Brant County Health Unit,12
2020-04-01,2230,Durham Region Health Department,27
2020-04-01,2233,Grey Bruce Health Unit,2
2020-04-01,2234,Haldimand-Norfolk Health Unit,19
2020-04-01,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-04-01,2236,Halton Region Health Department,28
2020-04-01,2237,Hamilton Public Health Services,12
2020-04-01,2238,Hastings and Prince Edward Counties Health Unit,2
2020-04-01,2240,Chatham-Kent Health Unit,1
2020-04-01,2242,Lambton Public Health,8
2020-04-01,2243,"Leeds, Grenville and Lanark District Health Unit",4
2020-04-01,2244,Middlesex-London Health Unit,12
2020-04-01,2246,Niagara Region Public Health Department,22
2020-04-01,2251,Ottawa Public Health,37
2020-04-01,2253,Peel Public Health,52
2020-04-01,2255,Peterborough Public Health,6
2020-04-01,2256,Porcupine Health Unit,3
2020-04-01,2258,Eastern Ontario Health Unit,3
2020-04-01,2260,Simcoe Muskoka District Health Unit,7
2020-04-01,2261,Sudbury & District Health Unit,5
2020-04-01,2263,Timiskaming Health Unit,1
2020-04-01,2265,"Region of Waterloo, Public Health",14
2020-04-01,2266,Wellington-Dufferin-Guelph Public Health,8
2020-04-01,2268,Windsor-Essex County Health Unit,25
2020-04-01,2270,York Region Public Health Services,45
2020-04-01,3895,Toronto Public Health,93
2020-04-01,4913,Southwestern Public Health,3
2020-04-01,5183,Huron Perth District Health Unit,1
2020-04-02,2227,Brant County Health Unit,6
2020-04-02,2230,Durham Region Health Department,21
2020-04-02,2233,Grey Bruce Health Unit,2
2020-04-02,2234,Haldimand-Norfolk Health Unit,8
2020-04-02,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",2
2020-04-02,2236,Halton Region Health Department,22
2020-04-02,2237,Hamilton Public Health Services,11
2020-04-02,2238,Hastings and Prince Edward Counties Health Unit,1
2020-04-02,2241,"Kingston, Frontenac and Lennox & Addington Public Health",2
2020-04-02,2242,Lambton Public Health,8
2020-04-02,2243,"Leeds, Grenville and Lanark District Health Unit",12
2020-04-02,2244,Middlesex-London Health Unit,13
2020-04-02,2246,Niagara Region Public Health Department,15
2020-04-02,2251,Ottawa Public Health,32
2020-04-02,2253,Peel Public Health,65
2020-04-02,2255,Peterborough Public Health,4
2020-04-02,2256,Porcupine Health Unit,7
2020-04-02,2258,Eastern Ontario Health Unit,7
2020-04-02,2260,Simcoe Muskoka District Health Unit,8
2020-04-02,2261,Sudbury & District Health Unit,6
2020-04-02,2262,Thunder Bay District Health Unit,3
2020-04-02,2265,"Region of Waterloo, Public Health",12
2020-04-02,2266,Wellington-Dufferin-Guelph Public Health,12
2020-04-02,2268,Windsor-Essex County Health Unit,20
2020-04-02,2270,York Region Public Health Services,37
2020-04-02,3895,Toronto Public Health,111
2020-04-02,4913,Southwestern Public Health,2
2020-04-02,5183,Huron Perth District Health Unit,1
2020-04-03,2226,Algoma Public Health Unit,1
2020-04-03,2227,Brant County Health Unit,12
2020-04-03,2230,Durham Region Health Department,29
2020-04-03,2233,Grey Bruce Health Unit,2
2020-04-03,2234,Haldimand-Norfolk Health Unit,17
2020-04-03,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",32
2020-04-03,2236,Halton Region Health Department,25
2020-04-03,2237,Hamilton Public Health Services,11
2020-04-03,2238,Hastings and Prince Edward Counties Health Unit,3
2020-04-03,2240,Chatham-Kent Health Unit,3
2020-04-03,2242,Lambton Public Health,3
2020-04-03,2243,"Leeds, Grenville and Lanark District Health Unit",5
2020-04-03,2244,Middlesex-London Health Unit,22
2020-04-03,2246,Niagara Region Public Health Department,22
2020-04-03,2251,Ottawa Public Health,26
2020-04-03,2253,Peel Public Health,36
2020-04-03,2256,Porcupine Health Unit,2
2020-04-03,2258,Eastern Ontario Health Unit,3
2020-04-03,2260,Simcoe Muskoka District Health Unit,7
2020-04-03,2261,Sudbury & District Health Unit,1
2020-04-03,2262,Thunder Bay District Health Unit,4
2020-04-03,2263,Timiskaming Health Unit,2
2020-04-03,2265,"Region of Waterloo, Public Health",13
2020-04-03,2266,Wellington-Dufferin-Guelph Public Health,12
2020-04-03,2268,Windsor-Essex County Health Unit,22
2020-04-03,2270,York Region Public Health Services,38
2020-04-03,3895,Toronto Public Health,110
2020-04-03,4913,Southwestern Public Health,1
2020-04-03,5183,Huron Perth District Health Unit,1
2020-04-04,2227,Brant County Health Unit,2
2020-04-04,2230,Durham Region Health Department,9
2020-04-04,2233,Grey Bruce Health Unit,2
2020-04-04,2234,Haldimand-Norfolk Health Unit,2
2020-04-04,2236,Halton Region Health Department,11
2020-04-04,2237,Hamilton Public Health Services,12
2020-04-04,2238,Hastings and Prince Edward Counties Health Unit,2
2020-04-04,2241,"Kingston, Frontenac and Lennox & Addington Public Health",4
2020-04-04,2242,Lambton Public Health,10
2020-04-04,2243,"Leeds, Grenville and Lanark District Health Unit",7
2020-04-04,2244,Middlesex-London Health Unit,19
2020-04-04,2246,Niagara Region Public Health Department,9
2020-04-04,2251,Ottawa Public Health,18
2020-04-04,2253,Peel Public Health,33
2020-04-04,2256,Porcupine Health Unit,1
2020-04-04,2258,Eastern Ontario Health Unit,6
2020-04-04,2260,Simcoe Muskoka District Health Unit,4
2020-04-04,2262,Thunder Bay District Health Unit,1
2020-04-04,2265,"Region of Waterloo, Public Health",17
2020-04-04,2266,Wellington-Dufferin-Guelph Public Health,14
2020-04-04,2268,Windsor-Essex County Health Unit,16
2020-04-04,2270,York Region Public Health Services,27
2020-04-04,3895,Toronto Public Health,120
2020-04-04,5183,Huron Perth District Health Unit,3
2020-04-05,2227,Brant County Health Unit,1
2020-04-05,2230,Durham Region Health Department,11
2020-04-05,2233,Grey Bruce Health Unit,3
2020-04-05,2234,Haldimand-Norfolk Health Unit,3
2020-04-05,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-04-05,2236,Halton Region Health Department,16
2020-04-05,2237,Hamilton Public Health Services,9
2020-04-05,2241,"Kingston, Frontenac and Lennox & Addington Public Health",1
2020-04-05,2242,Lambton Public Health,2
2020-04-05,2243,"Leeds, Grenville and Lanark District Health Unit",9
2020-04-05,2244,Middlesex-London Health Unit,2
2020-04-05,2246,Niagara Region Public Health Department,19
2020-04-05,2247,North Bay Parry Sound District Health Unit,1
2020-04-05,2249,Northwestern Health Unit,2
2020-04-05,2251,Ottawa Public Health,40
2020-04-05,2253,Peel Public Health,99
2020-04-05,2255,Peterborough Public Health,1
2020-04-05,2256,Porcupine Health Unit,1
2020-04-05,2257,Renfrew County and District Health Unit,2
2020-04-05,2258,Eastern Ontario Health Unit,3
2020-04-05,2260,Simcoe Muskoka District Health Unit,7
2020-04-05,2262,Thunder Bay District Health Unit,1
2020-04-05,2265,"Region of Waterloo, Public Health",12
2020-04-05,2266,Wellington-Dufferin-Guelph Public Health,8
2020-04-05,2268,Windsor-Essex County Health Unit,15
2020-04-05,2270,York Region Public Health Services,28
