Report_Data_Extracted,PHU_Num,PHU,LTC_Home,LTCH_Num,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases,1st_dose_staff_vac_rate,2nd_dose_staff_vac_rate,FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,TOTAL_CASES,CASE_FATALITY_RATE,Daily_New_Cases,Date,PHU ID,Percent_at_least_one_dose,Percent_fully_vaccinated,Percent_3doses
2021-08-05,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,<5,6,0,0.97,0.95,2021-08-05,HALTON REGION,2236.0,83,17336,217,17419,0.012457661174579483,11,2021-08-05,2236,0.844606138440491,0.7417028672961643,0.0
2021-08-06,2237,Hamilton,Arbour Creek Long-Term Care Centre,2930,Hamilton,129.0,<5,0,0,0.87,0.84,2021-08-06,CITY OF HAMILTON,2237.0,133,21175,394,21308,0.01849070771541205,15,2021-08-06,2237,0.7730047802994358,0.6753911183955438,0.0
2021-08-06,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,9,0.56,0.51,2021-08-06,TORONTO,3895.0,497,162334,3463,162831,0.02126744907296522,80,2021-08-06,3895,0.7912927905041713,0.7046404088154513,0.0
2021-08-06,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-06,SIMCOE MUSKOKA DISTRICT,2260.0,34,12197,247,12231,0.020194587523505846,7,2021-08-06,2260,0.8002360629811383,0.6862739777710589,0.0
2021-08-06,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,<5,6,0,0.97,0.95,2021-08-06,HALTON REGION,2236.0,86,17340,217,17426,0.012452656949385976,7,2021-08-06,2236,0.8451509208434392,0.746791586238732,0.0
2021-08-08,2237,Hamilton,Arbour Creek Long-Term Care Centre,2930,Hamilton,129.0,<5,0,0,0.87,0.84,2021-08-08,CITY OF HAMILTON,2237.0,157,21221,396,21378,0.018523715969688465,42,2021-08-08,2237,0.774735782322224,0.6813234476513181,0.0
2021-08-08,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,9,0.56,0.51,2021-08-08,TORONTO,3895.0,623,162408,3466,163031,0.021259760413663658,109,2021-08-08,3895,0.7929075820833977,0.7102488580608265,0.0
2021-08-08,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-08,SIMCOE MUSKOKA DISTRICT,2260.0,44,12205,247,12249,0.02016491142134052,8,2021-08-08,2260,0.8021664302160616,0.6968328539717241,0.0
2021-08-08,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,<5,6,0,0.97,0.95,2021-08-08,HALTON REGION,2236.0,96,17352,217,17448,0.012436955524988537,17,2021-08-08,2236,0.846205671152579,0.7582010704813039,0.0
2021-08-09,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,10,0.56,0.51,2021-08-09,TORONTO,3895.0,690,162431,3466,163121,0.02124803060304927,90,2021-08-09,3895,0.7933587124865925,0.7119608463972157,0.0
2021-08-09,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-09,SIMCOE MUSKOKA DISTRICT,2260.0,52,12207,247,12259,0.02014846235418876,10,2021-08-09,2260,0.8026587126233613,0.698864003431764,0.0
2021-08-09,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,0,6,0,0.97,0.95,2021-08-09,HALTON REGION,2236.0,106,17354,217,17460,0.01242840778923253,12,2021-08-09,2236,0.8466318263813941,0.7628146360144364,0.0
2021-08-10,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,10,0.56,0.51,2021-08-10,TORONTO,3895.0,753,162464,3466,163217,0.021235533063345118,96,2021-08-10,3895,0.7940322172887505,0.7141021204110736,0.0
2021-08-10,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-10,SIMCOE MUSKOKA DISTRICT,2260.0,66,12208,247,12274,0.020123839009287926,15,2021-08-10,2260,0.803696898750042,0.702030891044078,0.0
2021-08-10,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,0,6,0,0.97,0.95,2021-08-10,HALTON REGION,2236.0,113,17363,217,17476,0.012417029068436712,16,2021-08-10,2236,0.8473300504552318,0.7671090686606348,0.0
2021-08-11,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,<5,25,<5,0.94,0.92,2021-08-11,TORONTO,3895.0,774,162514,3467,163288,0.02123242369310666,72,2021-08-11,3895,0.7947000768247096,0.7161844872993783,0.0
2021-08-11,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,7,0.56,0.51,2021-08-11,TORONTO,3895.0,774,162514,3467,163288,0.02123242369310666,72,2021-08-11,3895,0.7947000768247096,0.7161844872993783,0.0
2021-08-11,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,0,6,0,0.97,0.95,2021-08-11,HALTON REGION,2236.0,116,17377,217,17493,0.012404961984793917,17,2021-08-11,2236,0.8460496506300779,0.7694519553497632,0.0
2021-08-12,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,<5,25,<5,0.94,0.92,2021-08-12,TORONTO,3895.0,830,162563,3467,163393,0.021218779262269498,105,2021-08-12,3895,0.7953814359102747,0.7183397517555551,0.0
2021-08-12,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,7,0.56,0.51,2021-08-12,TORONTO,3895.0,830,162563,3467,163393,0.021218779262269498,105,2021-08-12,3895,0.7953814359102747,0.7183397517555551,0.0
2021-08-12,2246,Niagara,West Park Health Centre,1500,St. Catharines,101.0,0,<5,<5,0.91,0.88,2021-08-12,NIAGARA REGION,2246.0,38,15935,420,15973,0.02629437175233206,8,2021-08-12,2246,0.8186477049922279,0.7254912476141491,0.0
2021-08-13,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,<5,25,<5,0.94,0.92,2021-08-13,TORONTO,3895.0,899,162623,3467,163522,0.02120204009246462,129,2021-08-13,3895,0.7961776638906684,0.7205016432633565,0.0
2021-08-13,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-13,TORONTO,3895.0,899,162623,3467,163522,0.02120204009246462,129,2021-08-13,3895,0.7961776638906684,0.7205016432633565,0.0
2021-08-15,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,<5,25,<5,0.94,0.92,2021-08-15,TORONTO,3895.0,1073,162717,3468,163790,0.021173453812809086,116,2021-08-15,3895,0.797756129409137,0.7251685602853069,0.0
2021-08-15,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-15,TORONTO,3895.0,1073,162717,3468,163790,0.021173453812809086,116,2021-08-15,3895,0.797756129409137,0.7251685602853069,0.0
2021-08-16,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,0,25,0,0.94,0.92,2021-08-16,TORONTO,3895.0,1138,162780,3468,163918,0.021156919923376323,128,2021-08-16,3895,0.7982549991286655,0.7266193936984102,0.0
2021-08-16,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-16,TORONTO,3895.0,1138,162780,3468,163918,0.021156919923376323,128,2021-08-16,3895,0.7982549991286655,0.7266193936984102,0.0
2021-08-17,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,0,25,0,0.94,0.92,2021-08-17,TORONTO,3895.0,1157,162845,3469,164002,0.02115218107096255,85,2021-08-17,3895,0.799050122600455,0.7285136259544795,0.0
2021-08-17,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-17,TORONTO,3895.0,1157,162845,3469,164002,0.02115218107096255,85,2021-08-17,3895,0.799050122600455,0.7285136259544795,0.0
2021-08-18,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,0,25,0,0.94,0.92,2021-08-18,TORONTO,3895.0,1195,162915,3469,164110,0.021138260922551947,108,2021-08-18,3895,0.7999048895368672,0.7302961801183543,0.0
2021-08-18,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-18,TORONTO,3895.0,1195,162915,3469,164110,0.021138260922551947,108,2021-08-18,3895,0.7999048895368672,0.7302961801183543,0.0
2021-08-18,2268,Windsor-Essex,The Village at St. Clair,3046,Windsor,256.0,0,63,<5,0.86,0.79,2021-08-18,WINDSOR-ESSEX COUNTY,2268.0,325,16641,431,16966,0.025403748673818224,75,2021-08-18,2268,0.8007654141568548,0.7234036494050402,0.0
2021-08-19,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187.0,0,25,0,0.94,0.92,2021-08-19,TORONTO,3895.0,1239,162986,3470,164225,0.0211295478763891,116,2021-08-19,3895,0.8008314495325474,0.7320374992943417,0.0
2021-08-19,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,<5,<5,<5,0.88,0.87,2021-08-19,HALTON REGION,2236.0,190,17458,217,17648,0.012296010879419764,17,2021-08-19,2236,0.8539048326389775,0.7926841848056642,0.0
2021-08-19,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-19,TORONTO,3895.0,1239,162986,3470,164225,0.0211295478763891,116,2021-08-19,3895,0.8008314495325474,0.7320374992943417,0.0
2021-08-19,2268,Windsor-Essex,The Village at St. Clair,3046,Windsor,256.0,0,63,<5,0.86,0.79,2021-08-19,WINDSOR-ESSEX COUNTY,2268.0,333,16677,430,17010,0.025279247501469725,43,2021-08-19,2268,0.8026394478582275,0.7255661373133889,0.0
2021-08-20,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,6,<5,<5,0.88,0.87,2021-08-20,HALTON REGION,2236.0,192,17475,217,17667,0.012282787117224204,19,2021-08-20,2236,0.854873836132032,0.7942398770403551,0.0
2021-08-20,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-20,TORONTO,3895.0,1275,163086,3470,164361,0.021112064297491497,136,2021-08-20,3895,0.8017745771572894,0.733752678433365,0.0
2021-08-20,2268,Windsor-Essex,The Village at St. Clair,3046,Windsor,256.0,0,63,<5,0.86,0.79,2021-08-20,WINDSOR-ESSEX COUNTY,2268.0,358,16709,431,17067,0.025253413019276968,58,2021-08-20,2268,0.8040458917782283,0.7275210116842327,0.0
2021-08-22,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,6,<5,<5,0.88,0.87,2021-08-22,HALTON REGION,2236.0,205,17512,217,17717,0.012248123271434215,22,2021-08-22,2236,0.856486263102178,0.797947620944917,0.0
2021-08-22,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-22,TORONTO,3895.0,1365,163296,3470,164661,0.02107359969877506,170,2021-08-22,3895,0.8036532235697227,0.7376842381713264,0.0
2021-08-22,2268,Windsor-Essex,The Village at St. Clair,3046,Windsor,256.0,0,63,<5,0.86,0.79,2021-08-22,WINDSOR-ESSEX COUNTY,2268.0,422,16774,431,17196,0.025063968364735983,88,2021-08-22,2268,0.8063985389886281,0.7315804993932357,0.0
2021-08-23,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-23,CITY OF HAMILTON,2237.0,482,21639,396,22121,0.01790154152163103,64,2021-08-23,2237,0.7894308985832597,0.7139522443223265,0.0
2021-08-23,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,6,<5,<5,0.88,0.87,2021-08-23,HALTON REGION,2236.0,197,17538,217,17735,0.012235692134197914,18,2021-08-23,2236,0.8568956557955177,0.7991828908668681,0.0
2021-08-23,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,<5,0,<5,0.8,0.79,2021-08-23,HURON PERTH,5183.0,25,1952,57,1977,0.028831562974203338,5,2021-08-23,5183,0.8536068854857091,0.7861865045840869,0.0
2021-08-23,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,<5,0.56,0.51,2021-08-23,TORONTO,3895.0,1377,163408,3470,164785,0.021057741906120097,124,2021-08-23,3895,0.8042048642558925,0.7390658557119049,0.0
2021-08-23,2268,Windsor-Essex,The Village at St. Clair,3046,Windsor,256.0,0,63,<5,0.86,0.79,2021-08-23,WINDSOR-ESSEX COUNTY,2268.0,422,16809,432,17231,0.025071092797864316,36,2021-08-23,2268,0.8069598304550687,0.7325165975999508,0.0
2021-08-24,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-24,CITY OF HAMILTON,2237.0,472,21694,396,22166,0.01786519895335198,45,2021-08-24,2237,0.7906985914086045,0.715792337588768,0.0
2021-08-24,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,7,<5,<5,0.88,0.87,2021-08-24,HALTON REGION,2236.0,212,17550,217,17762,0.012217092669744398,27,2021-08-24,2236,0.857884645388562,0.8013652440431751,0.0
2021-08-24,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,<5,0,<5,0.8,0.79,2021-08-24,HURON PERTH,5183.0,22,1956,57,1978,0.028816986855409503,1,2021-08-24,5183,0.8541086686586797,0.7871985757295701,0.0
2021-08-24,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,0,<5,<5,0.56,0.51,2021-08-24,TORONTO,3895.0,1364,163548,3471,164912,0.021047589017172796,128,2021-08-24,3895,0.8049710250576185,0.7403045007498387,0.0
2021-08-25,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-25,CITY OF HAMILTON,2237.0,480,21772,396,22252,0.017796153154772603,86,2021-08-25,2237,0.7919505120059513,0.7174227916580687,0.0
2021-08-25,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,7,<5,<5,0.88,0.87,2021-08-25,HALTON REGION,2236.0,208,17574,217,17782,0.012203351703970307,20,2021-08-25,2236,0.8588046507009963,0.8034238123421259,0.0
2021-08-25,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,<5,0,<5,0.8,0.79,2021-08-25,HURON PERTH,5183.0,18,1961,57,1979,0.028802425467407782,1,2021-08-25,5183,0.8552511467304715,0.7896989867948813,0.0
2021-08-25,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,0,<5,<5,0.56,0.51,2021-08-25,TORONTO,3895.0,1380,163684,3471,165064,0.0210282072408278,151,2021-08-25,3895,0.8058417460072014,0.7417252669842742,0.0
2021-08-26,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-26,CITY OF HAMILTON,2237.0,509,21791,396,22300,0.017757847533632288,48,2021-08-26,2237,0.7933601548832789,0.7194212643806575,0.0
2021-08-26,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,8,<5,<5,0.88,0.87,2021-08-26,HALTON REGION,2236.0,205,17586,217,17791,0.012197178348603226,9,2021-08-26,2236,0.8596949992198973,0.8053476356443712,0.0
2021-08-26,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,<5,0,<5,0.8,0.79,2021-08-26,HURON PERTH,5183.0,17,1965,57,1982,0.02875882946518668,3,2021-08-26,5183,0.8566742831871452,0.7919414189407555,0.0
2021-08-26,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,0,<5,<5,0.56,0.51,2021-08-26,TORONTO,3895.0,1403,163805,3471,165208,0.021009878456249093,144,2021-08-26,3895,0.8067416750732044,0.7431597782146723,0.0
2021-08-26,2227,Brant,Park Lane Terrace,2779,Paris,132.0,0,0,<5,0.82,0.79,2021-08-26,BRANT COUNTY,2227.0,75,3939,24,4014,0.005979073243647235,6,2021-08-26,2227,0.8284192835118985,0.7642709770547325,0.0
2021-08-27,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-27,CITY OF HAMILTON,2237.0,504,21862,396,22366,0.01770544576589466,66,2021-08-27,2237,0.7945029842369725,0.721101006662452,0.0
2021-08-27,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,8,<5,0,0.88,0.87,2021-08-27,HALTON REGION,2236.0,192,17614,217,17806,0.012186903291025498,15,2021-08-27,2236,0.860437708484035,0.8071122148596008,0.0
2021-08-27,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,<5,0,<5,0.8,0.79,2021-08-27,HURON PERTH,5183.0,21,1966,57,1987,0.02868646200301963,5,2021-08-27,5183,0.8576495002012803,0.7938351543054131,0.0
2021-08-27,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,0,<5,<5,0.56,0.51,2021-08-27,TORONTO,3895.0,1451,163942,3471,165393,0.020986377899911122,185,2021-08-27,3895,0.807543548319797,0.7444854339859752,0.0
2021-08-27,2227,Brant,Park Lane Terrace,2779,Paris,132.0,0,0,<5,0.82,0.79,2021-08-27,BRANT COUNTY,2227.0,74,3945,25,4019,0.006220452848967405,6,2021-08-27,2227,0.8294113596543801,0.7665025107942475,0.0
2021-08-27,2258,Eastern Ontario,Pinecrest (Plantagenet),2797,Plantagenet,60.0,<5,11,<5,0.81,0.77,2021-08-27,EASTERN ONTARIO,2258.0,40,4564,107,4604,0.02324066029539531,12,2021-08-27,2258,0.8326364677035928,0.7669381299101949,0.0
2021-08-29,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-29,CITY OF HAMILTON,2237.0,573,21988,397,22561,0.017596737733256505,106,2021-08-29,2237,0.7966913808717048,0.7247174471071762,0.0
2021-08-29,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,8,<5,0,0.88,0.87,2021-08-29,HALTON REGION,2236.0,203,17640,218,17843,0.012217676399708569,26,2021-08-29,2236,0.8619244164381159,0.811596193099251,0.0
2021-08-29,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,<5,0,<5,0.8,0.79,2021-08-29,HURON PERTH,5183.0,28,1971,57,1999,0.028514257128564282,10,2021-08-29,5183,0.8595035465014089,0.7975148975738642,0.0
2021-08-29,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,0,<5,<5,0.56,0.51,2021-08-29,TORONTO,3895.0,1533,164170,3470,165703,0.020941081332263144,141,2021-08-29,3895,0.8091917206035035,0.7472798407544039,0.0
2021-08-29,2227,Brant,Park Lane Terrace,2779,Paris,132.0,0,0,<5,0.82,0.79,2021-08-29,BRANT COUNTY,2227.0,80,3963,25,4043,0.006183527083848627,3,2021-08-29,2227,0.8317296044192019,0.7707921562226637,0.0
2021-08-29,2258,Eastern Ontario,Pinecrest (Plantagenet),2797,Plantagenet,60.0,<5,11,<5,0.81,0.77,2021-08-29,EASTERN ONTARIO,2258.0,56,4569,107,4625,0.023135135135135137,10,2021-08-29,2258,0.8374787345492845,0.7730315802447464,0.0
2021-08-30,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-30,CITY OF HAMILTON,2237.0,594,22041,397,22635,0.017539209189308593,74,2021-08-30,2237,0.7974241322974485,0.7258826204505336,0.0
2021-08-30,2230,Durham,Extendicare Oshawa,2439,Oshawa,175.0,<5,0,0,0.9,0.88,2021-08-30,DURHAM REGION,2230.0,228,25496,374,25724,0.014538951951484995,38,2021-08-30,2230,0.8471155997883254,0.7934706257007003,0.0
2021-08-30,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,8,<5,0,0.88,0.87,2021-08-30,HALTON REGION,2236.0,197,17662,218,17859,0.012206730500027997,16,2021-08-30,2236,0.862456949295909,0.8129668527308105,0.0
2021-08-30,2230,Durham,Hillsdale Estates,M539,Oshawa,300.0,12,0,7,0.84,0.82,2021-08-30,DURHAM REGION,2230.0,228,25496,374,25724,0.014538951951484995,38,2021-08-30,2230,0.8471155997883254,0.7934706257007003,0.0
2021-08-30,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,5,0,<5,0.8,0.79,2021-08-30,HURON PERTH,5183.0,29,1971,57,2000,0.0285,1,2021-08-30,5183,0.8596282835613565,0.7985950071156823,0.0
2021-08-30,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,0,<5,<5,0.56,0.51,2021-08-30,TORONTO,3895.0,1537,164287,3470,165824,0.020925800849093016,121,2021-08-30,3895,0.809638064802747,0.748010166388085,0.0
2021-08-30,2227,Brant,Park Lane Terrace,2779,Paris,132.0,0,0,<5,0.82,0.79,2021-08-30,BRANT COUNTY,2227.0,76,3969,25,4045,0.006180469715698393,2,2021-08-30,2227,0.8319514826310165,0.7709936318402885,0.0
2021-08-30,2258,Eastern Ontario,Pinecrest (Plantagenet),2797,Plantagenet,60.0,<5,11,<5,0.81,0.77,2021-08-30,EASTERN ONTARIO,2258.0,69,4570,107,4639,0.023065315800819143,14,2021-08-30,2258,0.8383246839827971,0.773950359761939,0.0
2021-08-31,2237,Hamilton,Clarion Nursing Home,2721,Stoney Creek,100.0,0,0,<5,0.84,0.8,2021-08-31,CITY OF HAMILTON,2237.0,564,22113,397,22677,0.01750672487542444,42,2021-08-31,2237,0.7984979581536504,0.7272646619288646,0.0
2021-08-31,2230,Durham,Extendicare Oshawa,2439,Oshawa,175.0,<5,0,0,0.9,0.88,2021-08-31,DURHAM REGION,2230.0,214,25529,374,25743,0.01452822126403294,19,2021-08-31,2230,0.847778610088307,0.794255798702521,0.0
2021-08-31,2236,Halton,Hampton Terrace Care Centre,2846,Burlington,101.0,8,<5,0,0.88,0.87,2021-08-31,HALTON REGION,2236.0,192,17681,218,17873,0.012197168914004365,14,2021-08-31,2236,0.863335692982558,0.814989317107199,0.0
2021-08-31,2230,Durham,Hillsdale Estates,M539,Oshawa,300.0,12,0,7,0.84,0.82,2021-08-31,DURHAM REGION,2230.0,214,25529,374,25743,0.01452822126403294,19,2021-08-31,2230,0.847778610088307,0.794255798702521,0.0
2021-08-31,5183,Huron Perth,Knollcrest Lodge,2996,Milverton,78.0,7,0,<5,0.8,0.79,2021-08-31,HURON PERTH,5183.0,29,1973,57,2002,0.028471528471528472,2,2021-08-31,5183,0.8603511915224158,0.7994369822703279,0.0
